Last name	First name	Ethnicity	Country	Imm. age	Age category	Gender	Title	Genre	Date	Keywords/Description	Generation
Abdullah	Shaila	South Asian	Pakistan	20s	young adult	F	Saffron Dreams	novel	2009	Muslim wisdow	First
Abdullah	Shaila	South Asian	Pakistan	20s	young adult	F	Beyond the Cayenne Wall	short story collection	2005	Pakistani women	First
Adachi	Jiro	Japanese American	Japan	Born	born	M	The Island of Bicycle Dancers	novel	2004	Coming of age, half Japanese, half Korean woman from Japan	Second
Agarwal	Shilpa	South Asian American	India		N/A	F	Haunting Bombay	novel	2009	ghost story set in India	First
Alexander	Meena	South Asian American	India	adult	adult	F	Nampally Road	novel	1991	exile, displacement, identity negotiation necessitated by migration	First
Alexander	Meena	South Asian American	India	adult	adult	F	Manhattan Music	novel	1997	exile, displacement, identity negotiation necessitated by migration	First
Alexander	Meena	South Asian American	India	adult	adult	F	Shock of Arrival	Memoir	1996	exile, displacement, identity negotiation necessitated by migration	First
Alexander	Meena	South Asian American	India	adult	adult	F	Fault Lines	Memoir	1993	exile, displacement, identity negotiation necessitated by migration	First
Ali	Kazim	South Asian American	India	child	child	M	Quinn's Passage	novel	2005	search for the sublime	First (born in Great Britain)
Ali	Kazim	South Asian American	India	child	child	M	The disapperance of Seth	novel	2009	post-9/11 america	First (born in Great Britain)
Ali	Kazim	South Asian American	India	child	child	M	Bright Felon: Autobiography and Cities	imagined history/literary memoir/dtective story	2009		First (born in Great Britain)
Ali 	Samina	South Asian American	India	child	child	F	Madras on Rainy Days	novel	2004	arranged marraige, gender roles, religious boundaries	First
Alumit	Noel	Filipino American 	Philippines	child	child	M	Letters to Montgomery Clift	novel	2002	racism, violence, alienation	First
Alumit	Noel	Filipino American 	Philippines	child	child	M	Talking to the Moon	novel	2006	racism, violence, alienation	First
An	Na	Korean American	Korea	child	child	F	A step from heaven	novel, YA novel	2003	teenage Korean American girls, immigrant parents vs American teenagers	First
An	Na	Korean American	Korea	child	child	F	Wait for me	novel, YA novel	2006	teenage Korean American girls, immigrant parents vs American teenagers	First
